WINNER,WIN_BY,NUM_OF_ROUNDS,LAST_ROUND,LAST_ROUND_TIME,TOTAL_FIGHT_TIME,WEIGHT_CATEGORY,TITLE_BOUT,REFEREE,DATE,LOCATION,R_NAME,R_AGE,R_HEIGHT,R_WEIGHT,R_REACH,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TD,R_TD_ATT,R_SUB_ATT,R_REV,R_CTRL,R_SIG_HEAD,R_SIG_HEAD_ATT,R_SIG_BODY,R_SIG_BODY_ATT,R_SIG_LEG,R_SIG_LEG_ATT,R_SIG_DIST,R_SIG_DIST_ATT,R_SIG_CLINCH,R_SIG_CLINCH_ATT,R_SIG_GROUND,R_SIG_GROUND_ATT,B_NAME,B_AGE,B_HEIGHT,B_WEIGHT,B_REACH,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TD,B_TD_ATT,B_SUB_ATT,B_REV,B_CTRL,B_SIG_HEAD,B_SIG_HEAD_ATT,B_SIG_BODY,B_SIG_BODY_ATT,B_SIG_LEG,B_SIG_LEG_ATT,B_SIG_DIST,B_SIG_DIST_ATT,B_SIG_CLINCH,B_SIG_CLINCH_ATT,B_SIG_GROUND,B_SIG_GROUND_ATT
Karo Parisyan,Decision - Unanimous,3,3,300,900,Welterweight,False,Mario Yamasaki,"June 04, 2005","Atlantic City, New Jersey, USA",Karo Parisyan,22.0,177.8,77.1,182.9,0,56,127,113,191,8,10,2,0,362,,,,,,,,,,,,,Matt Serra,31.0,167.6,77.1,172.7,1,26,65,52,91,1,2,0,2,56,,,,,,,,,,,,
Rich Franklin,KO/TKO,5,4,205,1105,Middleweight,True,Herb Dean,"June 04, 2005","Atlantic City, New Jersey, USA",Rich Franklin,30.0,185.4,83.9,193.0,0,97,272,104,279,0,0,1,1,75,,,,,,,,,,,,,Evan Tanner,34.0,182.9,83.9,188.0,1,25,95,27,99,1,5,1,0,48,,,,,,,,,,,,
Forrest Griffin,Submission,3,1,138,138,Light Heavyweight,False,Herb Dean,"June 04, 2005","Atlantic City, New Jersey, USA",Forrest Griffin,26.0,190.5,93.0,195.6,0,3,4,32,33,1,1,1,0,124,,,,,,,,,,,,,Bill Mahood,38.0,190.5,90.7,,0,1,1,2,2,0,0,0,0,0,,,,,,,,,,,,
Paul Buentello,Submission,3,1,240,240,Heavyweight,False,John McCarthy,"June 04, 2005","Atlantic City, New Jersey, USA",Paul Buentello,31.0,188.0,111.1,195.6,1,20,43,23,47,0,0,1,0,40,,,,,,,,,,,,,Kevin Jordan,34.0,190.5,111.1,,0,18,33,26,41,0,1,0,0,82,,,,,,,,,,,,
Nate Quarry,KO/TKO,3,1,157,157,Middleweight,False,Mario Yamasaki,"June 04, 2005","Atlantic City, New Jersey, USA",Nate Quarry,33.0,182.9,83.9,182.9,2,19,30,46,57,0,0,0,0,36,,,,,,,,,,,,,Shonie Carter,33.0,177.8,77.1,,0,6,19,11,25,0,0,0,0,42,,,,,,,,,,,,
David Loiseau,KO/TKO,3,2,130,430,Middleweight,False,John McCarthy,"June 04, 2005","Atlantic City, New Jersey, USA",David Loiseau,25.0,182.9,83.9,193.0,1,20,40,30,50,0,0,0,0,173,,,,,,,,,,,,,Charles McCarthy,24.0,177.8,83.9,180.3,0,0,1,8,20,1,3,1,0,165,,,,,,,,,,,,
Nick Diaz,KO/TKO,3,1,84,84,Welterweight,False,Mario Yamasaki,"June 04, 2005","Atlantic City, New Jersey, USA",Nick Diaz,21.0,185.4,83.9,193.0,1,25,44,26,45,0,0,0,0,3,,,,,,,,,,,,,Koji Oishi,28.0,172.7,77.1,,0,2,22,2,22,0,0,0,0,0,,,,,,,,,,,,
Chuck Liddell,KO/TKO,5,1,126,126,Light Heavyweight,True,John McCarthy,"April 16, 2005","Las Vegas, Nevada, USA",Chuck Liddell,35.0,188.0,93.0,193.0,1,13,26,15,28,0,0,0,0,2,,,,,,,,,,,,,Randy Couture,41.0,185.4,93.0,190.5,0,9,24,9,24,0,0,0,0,2,,,,,,,,,,,,
Renato Sobral,Submission,3,2,24,324,Light Heavyweight,False,Herb Dean,"April 16, 2005","Las Vegas, Nevada, USA",Renato Sobral,29.0,185.4,93.0,190.5,0,15,27,44,59,2,3,2,0,199,,,,,,,,,,,,,Travis Wiuff,27.0,190.5,93.0,,0,3,5,10,12,2,2,0,0,71,,,,,,,,,,,,
Matt Hughes,Submission,5,1,245,245,Welterweight,True,Mario Yamasaki,"April 16, 2005","Las Vegas, Nevada, USA",Matt Hughes,31.0,175.3,77.1,185.4,0,13,19,19,25,1,2,1,1,92,,,,,,,,,,,,,Frank Trigg,32.0,175.3,77.1,180.3,1,13,21,25,33,0,0,1,0,109,,,,,,,,,,,,
